Part,Price,Link
4 Motors ,$36.99,link
Speed Controller ,$12.99,link
Propellers ,$8.99,link
Flight Controller,$106.03,link
Lidar ,$24.99,link
Battery ,$35.99,link
RC,$22.99,link
Camera,$29.99,link
GPS,$18.99,link
,$297.95,
